,num,name,blog or review,visitor review,label,new_label
518,59.0,배곧 투파인드피터 배곧점,방문자 리뷰,전복 크림 파스타는 같이 주신 소스 찍어 먹었는데 참 맛있었고 봉골 레도 짠 듯 했지만 크림 파스타의 느끼함을 잘 잡아줬어요  다만 해감 이 잘 안 되어 몇 번을 뱉어냈네요  컵에도 이물질이 묻어 있어서 좀 맛있고 가성비도 괜찮아서 상대적으로 단점이 더 아쉽게 다가 왔어 요 맛도 좋고 가성비 있어서 단점이 아쉽게 느껴졌어요 ,2,2
549,90.0,배곧 투파인드피터 배곧점,방문자 리뷰,필라프 추가 주문했더니 밥이 없어서 안 된다고 하여 목살르테이크로 변경해달라고 함  그랬더니 요번엔 바뻐서 안 된다고 함  이럴 꺼면 주문 처음부터 안 된다고 말을 하던 가 브레이크 타임을 가지던가 ,2,2
652,194.0,배곧 투파인드피터 배곧점,방문자 리뷰,서빙 직원 음식을 반쯤 먹었을 때쯤 소스를 가져다 주더니 죄송하단 말 한마디 없이 여기에 나오는 소스인데 먹으라고 불친절 서비스 마인드 없음 ,2,2
670,213.0,배곧 투파인드피터 배곧점,방문자 리뷰,평점이 좋아서 한 1년 전에 방문 했었는데 직원 응대 태도 때문이 정 떨어져서 안 가기로 다짐했어요  반면에 음식은 너무 잘 합니다  그래서 배달시켜 먹습니다  어젠 오랜만에 매장으로 먹으러 갔습니다  직원은 모두 바뀌었지만 서비스제로 응대는 여전하더군 요 이 영수증 리뷰 1점대 사람들이 적어 놓은 것처럼 식전빵 누군주고 누군 안주고 저기요 하면 눈도 안마주치고 그냥 자기 갈 길 가면 서 잠시만요 한 ,2,2
726,269.0,배곧 투파인드피터 배곧점,방문자 리뷰,리뷰 잘 안 쓰는데 굳이 영수증까지 받아와서 작성합니다  스테이크 질 기고 나이프도 잘 안 들어서 먹기 힘들어요  음식 맛을 떠나서 서비스도 별로에요 서빙해주시는 분이 테이블에 접시를 툭하고 두고 여기요라고 하시던데 직원분 교육이 필요한 거 같습니더 ,2,2
1078,621.0,배곧 투파인드피터 배곧점,방문자 리뷰,평일 점심 때가서 그런지 알바생들 교육도 안 한 듯 테이블에 음식을 던져놓고 가는 느낌 기본이 안 되어 있었고 음식도 생각했던 것보다 별로 다신 안 갈 듯합니다 ,2,2
1268,815.0,배곧 투파인드피터 배곧점,방문자 리뷰,마인드가 별로 ,2,2
1357,904.0,배곧 투파인드피터 배곧점,방문자 리뷰,우울한 일요일 기분 좋은 음식을 먹었습니다 ,0,2
1416,44.0,배곧 소쇄원 배곧본점,방문자 리뷰,맛집이라고 해서 갔는데 고기 너무 질기고 직원들은 불친절하고 두 번 다시는 가고 싶지 않습니다  05점도 아깝습니다 ,2,2
1491,120.0,배곧 소쇄원 배곧본점,방문자 리뷰,나 이런 음식점 간 적 없는데 누가 내 아이디 해킹해서 별점 5개 후기 남겨놨더라  여기 불법 리뷰 알바 쓰는 듯 미친 거 아닌가 ,2,2
1498,128.0,배곧 소쇄원 배곧본점,방문자 리뷰,등심엑스 불친절 돈 아까움 ,2,2
1523,154.0,배곧 소쇄원 배곧본점,방문자 리뷰,음식 맛은 나쁘지 않은데 야외 데크에서 고기 궈 먹으면 연기 많이 난다고 말려야죠 손님이 몰라서 앉은 거 같으면 연기 나서 힘들다고 하면서 환풍기 있는 실 내로 안내하는 배려가 있어야지요  그리고 중간에라도 연기 많이 나서 힘들다고 하는데도 나 몰라라 하고 고기 추 가로 6만원 더 시키는 데 자리를 옮겨주시 던지 해야지 같이 갔던 친구들이 연기 잔뜩 마시고 서비스 도 별루라고 이 돈 주고 다시는 ,2,2
1528,159.0,배곧 소쇄원 배곧본점,방문자 리뷰,먼저 불판에 올린 고기 아래에 숨겨둔 지방 덩어리 삼겹살 불판 닦는 고기를 통 삽겹이라고 주 다니요 주인 아조씨 불러서 이 거 삼 겹살 아니라 지방 덩어리라서 바꿔주시면 안 되냐고 물었더니 삼겹살 자르는 방법이 달라서 그럴 뿐 이것도 삼겹살이 다 이 거 삼겹 살 맞다 라고 세 번은 얘기하시길래 아 절대로 바꿔 줄 생각이 없으시구나  싸우기도 싫고 피해자를 줄이고자 리뷰 를 쓰기로 마 ,2,2
1541,173.0,배곧 소쇄원 배곧본점,방문자 리뷰,음식에서 머리카락이랑 철수 세미가 나왔네요 ,2,2
1621,47.0,배곧 정동진,방문자 리뷰,칼국수에서 머리카락 같은 게 발견되었습니다  한두 가닥이면 빼고 먹으려고 했는데 뒤적거릴수록 더 많이 나와서 직원분께 말씀을 드 렸습니다  직원분 말씀으로는 키조개에 섬유 같은 것들이 나온 거라로 하시더라고요 키조개 직접 가지고 오셔서 설명해주신 건 감사해 요 다른 사람들 음식에서는 안 나온다고 하시는데 저희 꺼에서만 유독 많이 나온 이유는 손질이 안 되서였을까요 머리카 락이 저 ,2,2
1632,59.0,배곧 정동진,방문자 리뷰,부모의 원수에게도 추천하지 않을 음식점 1 나오는 시간 실크로드 낙타 세팅 최소 30분 이상 2 회가 푸석푸석 하게 생겼길래 긍정회로 돌리면서 숙성회 겠지 했는데 최소 2일 이상 밖에 있던 회이 거 같음  제가 횟집 운영해봤어서 암 3 직원 불친절 1미터 거리에서 불러도 못 들은 척함 4 테이블 의 자 개더러움  5 맛탕 물 콜라 사이다는 맛있음  맛집 ,2,2
1633,60.0,배곧 정동진,방문자 리뷰,진짜 별로 회가 푸석하고 일단 음식 나오는데 한 시간 걸림  횟집에서 그렇게 맛 없는 비린 회 먹는 거 처음이구요  칼국수는 그냥 밀가루 맛만 나 요 라면 도 집에서 그냥 진짬뽕 드시는 게 나아요  여기 스끼로 나오는 맛탕만 맛집입니다 ,2,2
1658,85.0,배곧 정동진,방문자 리뷰,진짜 별로에요 맛도 별로 고 2층에서 먹었는데 나이 있으신 남자 직원분이 정말 최악입니다  다 시 오고 싶지 않아 요 티비에 나오길래 가봤 는데 괜히 갔어요  친구가 화장실 가서 기다리는 동안 테이블 위에 리뷰 이벤트 안내판 보고 있는데 뭐 가져가신다는 말도 없이 갑자기 획 가져가 버리시더라고요 거기서부터 당황스러웠지만 계속 먹는 내내 양해 나 안 내 말 없이 저희 테이블 밑에 쓰레기통을 식 사하는 ,2,2
1677,104.0,배곧 정동진,방문자 리뷰,왜 평점이 좋은 지 의문이 들만큼 최악이었습니다  기분 좋게 여행 가서 기분만 나빠졌네요  평점 낮은 순으로 보고 갔어야 됐는데 낮은 순에 있는 말대로 손님이 오면 주문을 안 받고 무슨 주문을 하면 기본 20분 이상은 계속 걸렸던 거 같아 요 직원 한 분 빼고는 진짜 왜 계시는 지 모를 정도로 손님 응대가 진짜 별로였고요 차라리 그렇게 하실 거면 셀프라고 적으시는 게 나을 것 같아요  저만 기분나 쁜 ,2,2
1721,148.0,배곧 정동진,방문자 리뷰,주차를 하려는 데 차 옆에 와서 창문을 쾅쾅 두들기셔서 제가 위험하게 뭐 하시는 거냐고 얘기를 하니까 화를 애시면서 그게 뭐 어 때서 요라 하시며 욕을 하시네요  여행 왔는데 기분 상하고 밥도 못 먹고 매장에 전화해서 예약하려니까 바쁘니까 어플로 네이버로 예약하세요 하고 뚝 끊으시네요 ,2,2
1791,221.0,배곧 정동진,방문자 리뷰,진짜 먹던 희 집중에 최악이었어요  조개도 맛 없어 구 파 전도 딱딱해요  희도 별로였어요  그러구 중국 아주마 불친절 ,2,2
1914,345.0,배곧 정동진,방문자 리뷰,기안 84도 다녀오고 생생 정보통에도 나와서 기대하고 갔는데 맛은 쏘쏘 하지만 손님 들어 게 나 간 물통의 남은 물끼리 담아 다시 나가는 걸 보고 경악 코로나 시대에 조심해야 하는 거 아닌지 손님이 정수기 옆에 있음에도 4번 이상을 그렇게 진행하는 거 보고 밥맛 떨어짐 ,2,2
1921,353.0,배곧 정동진,방문자 리뷰,영수증 인식은 파티룸 서비스업으로 등록되어 있네요  일반음식점은 다른 주소라 직접 찾아서 등록했어요  뭐죠 불법인가요 나 혼산에서 나왔다고 해서 기대했는데 라면 꼬들 요청했지만 불어서 나왔고 해물은 많지만 해물 맛은 안 나고 그냥 라면 맛이에요  파전은 그래도 괜찮았어요 ,2,2
1984,417.0,배곧 정동진,방문자 리뷰,파전 이렇게 맛는 집 처음 바삭한 데 오래된 맛 기름쩐 맛 칼국수 쏘쏘 맛과 퀄리티에 비해 영다신 안 갈 듯 기 84땜에 방송빨 넘 타는 듯 ,2,2
2079,512.0,배곧 정동진,방문자 리뷰,서비스 너무 별로 알바 아줌마 많이 바빠서 뭐든 늦게 나옴 ,2,2
2099,532.0,배곧 정동진,방문자 리뷰,킹크랩 먹을려고 왔는데 가격 저렴하게 해주신 다 하혀서 믿고 먹었는데 22만원이 나왔네요  다른 가게 집 비교하면서 1에 다른 가게 는 1314만원이라면서 비교하고 저렴하게 해주신 다하시지 않았냐 물어보니깐 뻔뻔하게 스끼 다시 잘해주지 않았냐 이 러시는데 다른 가 게도 다 기본으로 나오지 않나요 돈을 떠나서 다 먹고 계산대에서 뻔뻔하게 이 러시는 게 어이없네요  다른 손님들은 밖에서 기다 ,2,2
2176,609.0,배곧 정동진,방문자 리뷰,이런 말 하기도 싫은 데 05점도 아깝네요  맛도 그저 그랬고 다신 안 갈 거 같네요  리뷰 작성해서 이런 말 하기 그렇지만 해야 할 것 같 아서 남겨요  조개구이 먹는데 석화를 호일에 감싸서 직원이 불판에 올렸습니다  오래 구우면 터진다고 미리 조심해라 말도 안 해주고 올 려서 결국 석화가 터져서 얼굴이랑 옷 핸드폰에 다 튀었습니다  턱에 상처도 났는데 직원이랑 사장 태도는 니가 조심했어야지 라 ,2,2
2193,626.0,배곧 정동진,방문자 리뷰,돈이 아까워 요 조개가 너무 비리고 짜요 세척을 어떻게 하는 건지 너무너무 짜서 바닷물 비릿 내가 나 고 석화는 생물이 아닌 건지 왜 살이 다 으스러지나요  탱글한 느낌이 하나 없이 으스러지고 비릿한 냄새 석화도 다 버림  담배 피러 가는 사람들이 문을 안 닫고 가서 문 앞에 앉은 남학생이 계속 문 닫고 매너가 없는 사람들 문을 안 닫고 다녀서 찬바람 쌩쌩 조선족 말투의 아줌마한테 춥 다 말하니 자기는 ,2,2
2196,629.0,배곧 정동진,방문자 리뷰,최악입니다  밥 먹으러 들어가서 1시간 가량을 기다리고 벨을 5번 넘게 눌러도 연속이 아니고 충분히 기다리고 누름 응대도 답변도 없고 코스를 먹었는데도 이런 응대면 두 번 다신안 옵니다 대게 수율도 엄청 안 좋고 칼국수에 실이 나오네요 위생상태도 안 좋고 서비스도 안 좋고 대체 여기를 왜 온 건지 모르겠네요  입구에서는 엄청 꼬시시면서 왜 들어가면 두 얼굴이신가요 ,2,2
2205,638.0,배곧 정동진,방문자 리뷰,수저가 설거지가 덜 돼서 더러웠어요  위생에 예민하신 분들은 안 가는 거 추천 양은 많아요 ,2,2
2208,642.0,배곧 정동진,방문자 리뷰,조개는 나쁘지 않은데 정말 직원 분들 너무 불친절합니다  불이 정말 약해서 시 세 명이 서 먹는데 잘 못 먹어서 불 하나 넣어달라고 하니 두 분이 서 갑자기 불을 가지고 오니 저보고 판을 들어 달라고 하질 않나 두 분이 서 오셨으면 한 분은 불을 넣고 한 분은 판을 들어주셔야 죠 제가 들고 있는 와중에 그 조개구이 껍데기가 치마에 튀어서 치마에 구멍 났습니다  근데 그 말도 무시하 시더군 요 이 규모 ,2,2
2233,667.0,배곧 정동진,방문자 리뷰,맛은 있는데 완전 불친절함 17일 일요일 2층 홀 하얀색 옷 입은 점원분 말하는 게 가관 임  조개에 뻘 나와서 얘기하니 우리가 일일이 다 확인할 수는 없잖아요 ,2,2
2238,672.0,배곧 정동진,방문자 리뷰,맛있는데 사람이 많아서 음식이 오래 걸려요 ,0,2
2245,679.0,배곧 정동진,방문자 리뷰,바지락 칼국수 2개랑 콘치즈 시켰었는데 바지락은 원래 그런지 모르겠는데 모래가 있는 식감이 있었구요  콘치즈는 안 나오길래 언제 나오냐고 3번 정도 여쭤봤었어요  결국 칼국수 다 먹어서도 나오지도 않았어요  보리밥도 혹시 시켜야 나오는 거냐고 여쭤보니까 한참 뒤 에 보리밥 1개를 반 반으로 나눠서 주더라고요 이 때 이 따가 보리밥 완성되면 더 주신다고 하셨는데 칼국수까 지 다 먹어서 2명이 ,2,2
2260,694.0,배곧 정동진,방문자 리뷰,해물도 홍합만 가득 라면은 다 불어 터지고 위생 최악이예요 ,2,2
2391,825.0,배곧 정동진,방문자 리뷰,해물파전하고 해물 라면 먹었는데 파전에 어제 꺼 같고 홍합 때문에 텁텁하고 돈이 아깝다 해물 라면은 모자란 맛 옆에서 파전시켰는데 으 말리고 싶다 ,2,2
2403,837.0,배곧 정동진,방문자 리뷰,라면을 시켰는데 해물탕이 나오네요 ,0,2
2419,853.0,배곧 정동진,방문자 리뷰,티비를 보고 다녀왔는데 흠 우선 해물 라면 2인 해물 파전을 시켰습니다  근데 해물 라면에서 영수증이 쓰레기가 나왔어요  이거 보고 다시 바꿔주긴 했는데 바꿔 나온 해물 라면은 낙지도 발 두 갠가 세 개 붙어 있는 게 나오고 원래 다시 나올 땐 안 좋은 재료를 쓰나 봐요 그 거 본 순간 그냥 다 환불하고 나오고 싶었어요  사진을 안 찍어 놓은 게 후회가 되네요 ,2,2
2512,948.0,배곧 정동진,방문자 리뷰,음식 가지고 장난치네요 파전은 생긴 거는 맛있어 보이는데 야채 튀김 먹는 거 같고 해물은 있지도 않고 맛 없어서 남겼어요  칼국수는 그냥 그냥 평 좋아서 갔는데 알바썼나 실망 ,2,2
2536,972.0,배곧 정동진,방문자 리뷰,아 진짜 음식 맛도 별로 고 무슨 맛인지도 머르겠고 서비스도 꽝 다신안옴 ,2,2
2602,1039.0,배곧 정동진,방문자 리뷰,해물파전 먹을 만 함 물회는 별로 조개구이 땜에 문을 다 열어놓고 에어컨과 선풍기를 돌리니 쪄 죽겠음  저녁에 해 떨어지면 괜찮음 ,1,2
2885,1324.0,배곧 정동진,방문자 리뷰,리필되는 조개 종류는 2개 지 뿐이고 예약하고 왔는데 사장이란 사람은 예약되 있는지도 머른다 하고 직원도 나 몰라라 하다가 나중되서야 음료수 두 개 주고 잘못 툭쳐서 물 쏟았으면서 닦을 생각도 없고 죄송하다도 없고 기본적인 게 안 되있는 거 같습니다  다신 안 가기로 맘 먹고 거르게 된 계기 실수하거나 안 되는 게 있으면 미안하다 말 한마디라도 합시 다 진짜 별로 ,2,2
3058,1497.0,배곧 정동진,방문자 리뷰,흐음 동 동주랑 보리밥 서비스인 줄도 모르고 막걸리를 시켜 먹었어요  그리고 너무 아쉬웠던 점 서비스가 생각보다 너무 별로였어요  리필 해달라고 했는데 너무 느리고 추가 주문도 느리고 직원 분들이 느리신 게 아니라 손님에 비해 직원이 너무 부족해 보였습니다  재 방문과 연 할까요 옆에 테이불에선 칼국수 안나온다고 화 내시고 그 뒤 테이블은 뭐 새우취 김안 나왔다 1층 내려가서 싸운다 ,2,2
3077,1516.0,배곧 정동진,방문자 리뷰,회 새우 칼국수 세트에 해물 파전 먹었습니다  맛은 무난합니다  앞접시 상태 불량해 서빙하시는 분이 한 분이라서 제가 직접 바꾸러 갔 습니다  이번엔 시킨 맥주가 하도 오지 않아 제가 또 가지러 갔습니다  이 때까지 서빙하는 분이 한 분이라 그럴 수 있다 생각했습니다  그 런데 아이 먹일려고 칼국수 싱 겁게 해달라고 말했더니 어른이 먹어도 매운맛 다시 해주고 사이다 서비스로 주 셨지만 화가 나더 ,2,2
3082,1521.0,배곧 정동진,방문자 리뷰,네이버 메뉴판과 달리 가면 해물 칼국수 12000원이에 요 쫌 그러네요  뭐가 잘못된 건지 조개구이 연기 안 빠져서 화생방인 줄 ,2,2
3150,1589.0,배곧 정동진,방문자 리뷰,조개는 정말 신 선하고 좋은데 알바생이나 이 모나 저기 요 부르면 오지도 않고 멀리서 주문 듣고 한 번은 남자 알바생 보고도 안옴  쌩깜 ,2,2
3232,1671.0,배곧 정동진,방문자 리뷰,칼국수랑 조개구이는 진짜 맛있었음  해물라면은 비추 진짜 맛없음  완전 밍밍하고 안에 들어가는 콩나물도 그냥 생콩나물 먹는 맛이여서 맛이 상하다고 빼달라고 했는데 갑자기 사장님이 신지 여자분이 와서 말씀하시는데 너무 불친절했음  밥 맛 뚝 떨어짐 ,2,2
3251,1690.0,배곧 정동진,방문자 리뷰,예약이 되는 것과 안내문자는 좋았습니다  수많은 칭찬리뷰에 기 대치가 높았나 봅니다 첫 대면인 숟가락 젓가락 설거지 상태가 영 아니었습 니다 깨끗하지가 않아서 몇 번을 고르고 골라 사용했고 칼국수와 파전을 시켰는데 칼국수는 그럭저럭 괜찮았는데 파전은 그냥 밀가루 전 이라 부르는 게 더 어울리는 듯합니다  파전한 판에 울 아이 말로 작은 해물 4개 찾았다고 거의 찾아볼 수 없었습니다  돈 주기 아까울정 도 ,2,2
4019,49.0,배곧 등대횟집,방문자 리뷰,진짜 불친절의 그 자체 주차 안내해주는 분 빼고는 진짜 다 불친절 맛은 조개구이 다 비슷하잖아요 반찬도 완전 ,2,2
4021,51.0,배곧 등대횟집,방문자 리뷰,1인에 3만원 무한리필 조개 혼자 서빙하시고 준비하셔서 바쁘셔서 정신 없는 건 이 해 하지만 너무 그러셔서 기분 안 좋게 돈버림 ,2,2
4026,56.0,배곧 등대횟집,방문자 리뷰,서빙하시는 분들 일 하기 싫으신 거 같아 요 눈치주시고 들어도 못 들은 척 앞에 호객행위하시는 분만 살갑습 다 다시는 안 가요 6 마넌이라는 돈이 아깝습니다 ,2,2
4058,88.0,배곧 등대횟집,방문자 리뷰,맛있다는 사람들 대체 혓 바닥이 어 케 댄 건지 전혀 모르겟음 물론 오이도니까 횟값 후려치는 건 백 번 이해하지만 반찬 죄다 어 제 담아 논거깉 구 매운탕은 바닷물 맛임  후려칠 거 알고 들어와서 먹엇는데 당황스럽 넹 주인이 이런 거도 돈 내고 지우나 여 공기 밥 매운탕에 같이 나온다는 줄 알고 반만 달라고 햇다가 그런 게 어 딧냐고 혼꾸녕 남 ,2,2
4079,109.0,배곧 등대횟집,방문자 리뷰,너무 불친절 헤요 코스요리 시켰는데 처음부터 어려 보여서 무시하는 거 같았는데 리뷰에 친절하다 해서 갔는데 코스 시켰는데 아얘 방 치형 식당이네요  이십 대 여자면 걍 무시함 필요한 거 말해도 다른 손님들 때문에 바쁘다 말히 고 휴지 달라 해도 안주고 조개구이 당연 굽죠 그냥 언 제 먹는 게 좋냐 말해도 무시히고 걍 구울 줄 모르면 시키지 말래 요 참았는데 화장실 갔는데 안 에 칸이 안 잠겨서 밖에 ,2,2
4164,194.0,배곧 등대횟집,방문자 리뷰,리뷰 개사기 양개 작고 맛 진짜 없음 이 금액으로 다른 곳 가서 더 맛있게 먹었겠다 리뷰 보고 왔는데 광고인 듯 돈만 쓰고 기분만 안 좋아짐요 다른 곳 가셈 ,2,2
4179,209.0,배곧 등대횟집,방문자 리뷰,조개구이 4인 세트 주문했는데 조개 기본새우한 접시 양 적습니다  칼국수에 15만원입니다  양이 적 고 너무 비쌉니다  중간에 낙지랑 해물 라면 주문했는데 낙지는 비싸도 괜찮았습니다  해물 라면 완전 맹탕입니다  칼국수도 깊은 맛 없습니다  리뷰 보고 찾아 간 건데 암튼 조개구이 드시려면 세트 비추 너무 비싸요 그냥 단독 주문해서 조개구이 리필 해가면서 드세요 절대 리뷰 보고 선 택하면 안 될 것 ,2,2
4263,293.0,배곧 등대횟집,방문자 리뷰,후일 단 제가 먹어 본 참돔 중에서는 단 연 최악이었어요  직원분은 너무 친절하셔서 참돔 맛이 이 상하다니깐 좀 전에 떠놓은 민어 라고 갖다 주셔서 그거 먹었는데 그건 좀 더 나아도 맛 없어서 다 남기고 왔네요  용서가 전혀 안 되는 맛이에요  그래도 매운탕이라도 먹 음  배는 채우겠구나 했는데 진짜 살면서 이렇게 비린 매운탕 처음이에 요 한 입뜨고 정신이 번쩍 들어서 그대로 밖에 나 ,2,2
4501,31.0,배곧 구십도씨,방문자 리뷰,배달로만 먹어보고 첫 방문이었는데 사장님이 신지 모르겠지만 계산하고 제가 카드 받으려고 하는데도 바닥에 탁 내려놓으시고 카드엔 물이 잔뜩 묻어 있어서 제가 닦았구요  음료만 두잔 시켰는데 20분이 되도록 안 나오더라고요 저희 앞에는 대기 손님이 없었거든요  배 달이 많은 건 이해를 합니다  근데 사람이 양해를 구해서 상황을 알고 기다리는 거랑 안내 없이 하염없이 기다리는 것 과는 엄청 다르 ,2,2
4569,99.0,배곧 구십도씨,방문자 리뷰,사진에 있던 아이스크림과 브라운 치즈는 포장하면 없습니다  전화했더니 사진과 다른다고 써 있다 하셨는데 네이버 포장에 그런 멘트는 못 찾았네요  코로나 시기에 지금 포장만 가능한데 이건 좀 속은 느낌이 듭니다 사진은 포장용 실물로 다시 바꾸시는 게 다른 손님들에게도 불만을 안 사실 것 같네요  맛은 먹을 만 했어요 ,2,2
4692,82.0,배곧 엣홈파스타,방문자 리뷰,뇨끼 라자냐 맛있었고 파스타도 괜찮은 편이었는데 사실 인테리어 분위기가 조금 아쉬웠어요  프라이빗하게 식사 가능한 것 치고 가격대는 저렴한 거 같구요  음식 맛이 없다고 한 것도 아니고 솔직한 리뷰 쓰고 별 네 개 평점 올렸더니 개인 핸드폰으로 문자를 보내시네요  기분 나빠서 별점 다 뺍니다 ,2,2
5008,80.0,배곧 세유카츠,방문자 리뷰,안 좋은 댓글은 다 지우시나 봐요 좋은 말밖에 없네요  어이없게도 안심 돈까스 만 삼천원짜리 시켰는데요  엄지손가락만한 덩어리 10 개정도 나왔네요  진심 간에 기 별도 안 가요 여자분이든 남자분이든 한입에 쏙 들어가는 소박한 크기 맛은 그렇다 쳐도 양이 심  각하게 창렬이네요 다신안와 ,2,2
5984,1059.0,배곧 세유카츠,방문자 리뷰,맛은 있으나 매장도 큰 편이 아닌데 직원분들이 너무 부산스러워요 그리고 테이블마다 비치한 소스통들은 깨끗한 편이 아니라 비위상했어요 ,2,2
6162,1238.0,배곧 세유카츠,방문자 리뷰,음식은 뭐 소소 하구요  반찬 좀 더 시켯더니 직원이 불친절한 게 음식 다 먹고 체할 뻔 했네요 ,2,2
6731,131.0,배곧 모미지,방문자 리뷰,모미지에서 먹다가 활어회 못 먹겠어요  어떻게 어떻게 숙성 회 먹다가 활어회 못 먹겠다더니 그 말 이젠 무슨 말인지 알아버렸어  여 언제나 기 대가 되는 저녁 이 됩니다 고마워요 ,0,2
